Restaurant Name,Area,Restaurant type,Ratings,Number of ratings,price,Address
Xindian Restaurant,Dhanmondi,Chinese,4,3278,2,"House No.55, 55/A (New), 273 (Old) Road No.: 16 (New), 27(Old, 55/1 Rd No. 27"
Brews & Bites,Gulshan,Cafe,4,338,3,"First Floor, 112 Gulshan Ave"
El Toro,Gulshan,Restaurant,5,1,1,1/A Rd 138
Cafe Cherry Drops,Taltola,Restaurant,4,1910,2,572/A Shahid Baki Rd
Hanif Biryani,Old Dhaka,Biryani,4.2,1942,2,30 Kazi Alauddin Rd
Sultan's Dine Dhanmondi,Dhanmondi,Restaurant,4.3,13788,2,"Green Akshay Plaza 1st Floor Satmasjid Road 146/G (Old), 59 (New"
Mainland China,Uttara,Chinese,4.2,1111,3,"Plot No 15, 14th Floor, Siaaam Tower, Service Rd"
Lake Terrace,Uttara,Steak,4.1,2720,3,"House # 25/E, Lake Dr Rd"
Tasty Tibet - Gulshan 2,Gulshan,Restaurant,4,2,1,"Hosna Center, Gulshan 2 (Inside Shwapno Gulshan, House-106 Gulshan Ave"
Gardenia Banquets,Uttara,Banquethall,4.1,786,3,"House no: 88, 8 Rd No 51"
The Green Lounge,Karwan Bazar,Restaurant,4.3,2963,3,"18th Floor, Rupayan Trade Center, 114 Kazi Nazrul Islam Ave  In Rupayan Trade Centre Mosque (Roof Top)"
Cafe liquid,Bashundhara,Restaurant,3.7,43,1,"Madani Avenue, shamsher nagar Bara Beraid"
Sultan's Dine (Baily Road),Baily Road,Restaurant,4,368,1,9 Baily Rd
Xinxian Restaurant,Dhanmondi,Chinese,4.1,3236,2,"House no. 7, Road no. 8, Dhanmondi"
