Restaurant Name,Area,Restaurant type,Ratings,Number of ratings,price,Address
KFC Bashundhara,Bashundhara,Restaurant,4.2,312,2,"Ka-5/2, Jagannathpur, Adept NR Complex, 1st Floor, Bashundhara Rd"
CAFE JHAL ক্যাফে ঝাল,Bashundhara,Restaurant,3.9,67,1,"Sarker Market,(1st Floor, Bashundhara Rd"
PizzaLab,Bashundhara,Pizza,4.2,105,1,"1/C,Joynal complex, Bashundhara Rd"
Saffron Restaurant and Cafe,Bashundhara,Restaurant,3.9,137,1,"KA-244, Shop No 1-2, Block- D, Kuril, Progoti Sharani Jamuna Future Park"
Roadhouse Cafe,Bashundhara,Fast Food,3.6,59,1,"Ka 3/1-C (Underground), Amir Complex, Bashundhara Rd"
Burger King,Dhanmondi,Fast Food,4.1,2379,1,"Plot 43 (New), Ground Floor, Road No. 2A, Satmasjid Road"
Nando's,Dhanmondi,Portuguese,4.2,2403,3,"43, 27 (old Rd No. 27"
Cafe ALFIO,Dhanmondi,Restaurant,3.7,90,1,133 Rd No 9A
Bashmoti Kacchi,Dhanmondi,Biryani,4.1,2083,2,"3, H.No 43, 2 Moneshwer Rd"
OLD 19,Dhanmondi,Restaurant,4.2,102,1,"9/A , Rupayan Z.R Plaza, Base floor Road No. New, 46 Satmasjid Road  In RUPAYAN ZR PLAZA"
Cheez,Dhanmondi,Pizza,4.3,630,2,"Rangs KB Square, 2nd Floor, 736 Satmasjid Road"
HAPPINESS- be happy and smile,Dhanmondi,Restaurant,3.7,114,1,"Level- 7, Rangs KB Square, 49/A Satmasjid Road"
"Secret Recipe Flagship, Dhanmondi",Dhanmondi,Malaysian,4.2,3096,2,"181/1 (old), 54 (new), Road no. 20 (old 10/A (new), Ground Floor"
Adda Multi Cuisine Restaurant,Dhanmondi,Chinese,3.8,69,1,4 Road No 4
Cafe Hello Dhanmondi,Dhanmondi,Restaurant,3.8,256,1,49/A Satmasjid Road
Dhaba Dhanmondi,Dhanmondi,Indian,4.1,107,2,"House no, 54 Rd 10/A"
Munchery,Dhanmondi,Restaurant,3.7,613,1,"Rangs KB Square, 736, Satmasjid Road"
Shampan,Dhanmondi,Restaurant,3.8,158,1,Dhanmondi Lake Walkway
Nawab Restaurant and Caterer,Dhanmondi,Restaurant,3.6,70,1,"13, 1 Ed No 27, Dhaka 1205"
KFC Restaurant,Dhanmondi,Fast Food,4,4517,2,"House No.84, Road No, 7/A, Satmasjid Road"
Hot Hut,Dhanmondi,Restaurant,4.1,563,1,"Mirpur Rd, Dhanmandi"
